time,val
-579240000,0.21
-579180000,0.276
-579120000,0.322
-579060000,0.336
-579000000,0.318
-578940000,0.314
-578880000,0.328
-578820000,0.308
-578760000,0.326
-578700000,0.304
-578640000,2.206
-578580000,2.338
-578520000,2.362
-578460000,2.356
-578400000,2.324
-578340000,2.264
-578280000,2.28
-578220000,2.258
-578160000,2.306
-578100000,2.288
-578040000,2.3
-577980000,2.346
-577920000,2.378
-577860000,2.346
-577800000,2.35
-577740000,2.326
-577680000,2.336
-577620000,2.326
-577560000,0.504
-577500000,0.268
-577440000,1.734
-577380000,2.318
-577320000,2.322
-577260000,2.302
-577200000,2.318
-577140000,2.302
-577080000,2.29
-577020000,2.376
-576960000,0.368
-576900000,0.332
-576840000,1.734
-576780000,2.416
-576720000,2.4
-576660000,2.418
-576600000,2.388
-576540000,2.406
-576480000,2.378
-576420000,1.164
-576360000,0.3
-576300000,0.7
-576240000,2.376
-576180000,2.32
-576120000,2.278
-576060000,2.28
-576000000,2.278
-575940000,2.294
-575880000,2.28
-575820000,2.3
-575760000,0.21
-575700000,0.216
-575640000,2.256
-575580000,2.312
-575520000,2.288
-575460000,2.308
-575400000,2.272
-575340000,2.354
-575280000,0.616
-575220000,0.282
-575160000,1.78
-575100000,2.348
-575040000,2.368
-574980000,2.362
-574920000,2.378
-574860000,2.43
-574800000,2.512
-574740000,0.616
-574680000,0.398
-574620000,1.528
-574560000,2.484
-574500000,2.462
-574440000,2.502
-574380000,2.484
-574320000,2.486
-574260000,2.04
-574200000,0.402
-574140000,0.38
-574080000,1.876
-574020000,2.36
-573960000,2.364
-573900000,2.336
-573840000,2.352
-573780000,2.34
-573720000,2.36
-573660000,0.914
-573600000,0.29
-573540000,1.058
-573480000,2.374
-573420000,2.388
-573360000,2.358
-573300000,2.294
-573240000,2.278
-573180000,2.28
-573120000,0.268
-573060000,0.222
-573000000,1.622
-572940000,2.296
-572880000,2.278
-572820000,2.296
-572760000,2.26
-572700000,2.94
-572640000,2.792
-572580000,1.158
-572520000,0.932
-572460000,2.514
-572400000,2.984
-572340000,2.996
-572280000,2.94
-572220000,3.278
-572160000,5.908
-572100000,7.064
-572040000,6.926
-571980000,6.58
-571920000,6.05
-571860000,6.104
-571800000,4.762
-571740000,4.506
-571680000,4.472
-571620000,3.708
-571560000,0.724
-571500000,1.892
-571440000,2.012
-571380000,2.372
-571320000,2.386
-571260000,2.4
-571200000,2.424
-571140000,1.066
-571080000,0.38
-571020000,1.632
-570960000,2.41
-570900000,2.38
-570840000,2.402
-570780000,2.438
-570720000,2.432
-570660000,1.64
-570600000,0.424
-570540000,1.41
-570480000,2.722
-570420000,2.712
-570360000,2.706
-570300000,2.488
-570240000,2.424
-570180000,1.258
-570120000,0.37
-570060000,0.786
-570000000,2.474
-569940000,2.474
-569880000,2.488
-569820000,2.486
-569760000,2.444
-569700000,2.272
-569640000,0.338
-569580000,0.29
-569520000,1.466
-569460000,2.324
-569400000,2.32
-569340000,2.308
-569280000,2.314
-569220000,2.312
-569160000,2.306
-569100000,0.444
-569040000,0.268
-568980000,1.846
-568920000,2.308
-568860000,2.29
-568800000,2.288
-568740000,2.296
-568680000,2.292
-568620000,0.37
-568560000,0.472
-568500000,3.054
-568440000,3.48
-568380000,3.572
-568320000,3.56
-568260000,3.528
-568200000,3.49
-568140000,2.038
-568080000,1.406
-568020000,2.84
-567960000,3.388
-567900000,3.394
-567840000,3.36
-567780000,1.354
-567720000,1.334
-567660000,1.358
-567600000,1.37
-567540000,1.322
-567480000,1.304
-567420000,1.394
-567360000,1.702
-567300000,2.242
-567240000,3.714
-567180000,3.212
-567120000,3.694
-567060000,3.204
-567000000,3.676
-566940000,3.666
-566880000,3.678
-566820000,3.722
-566760000,3.716
-566700000,3.75
-566640000,4.17
-566580000,5.776
-566520000,5.718
-566460000,5.738
-566400000,5.714
-566340000,5.732
-566280000,5.73
-566220000,5.848
-566160000,5.842
-566100000,5.88
-566040000,5.872
-565980000,5.07
-565920000,5.488
-565860000,5.898
-565800000,5.026
-565740000,3.246
-565680000,2.712
-565620000,3.538
-565560000,3.574
-565500000,3.016
-565440000,3.002
-565380000,4.444
-565320000,5.568
-565260000,4.84
-565200000,5.066
-565140000,5.57
-565080000,3.65
-565020000,2.394
-564960000,3.024
-564900000,3.25
-564840000,3.378
-564780000,2.264
-564720000,3.108
-564660000,2.978
-564600000,1.966
-564540000,1.928
-564480000,2.526
-564420000,1.51
-564360000,1.572
-564300000,1.602
-564240000,1.562
-564180000,1.55
-564120000,1.586
-564060000,1.658
-564000000,1.658
-563940000,1.65
-563880000,1.676
-563820000,2.492
-563760000,3.828
-563700000,3.822
-563640000,3.834
-563580000,3.81
-563520000,3.824
-563460000,3.838
-563400000,3.844
-563340000,3.824
-563280000,3.844
-563220000,3.88
-563160000,4.004
-563100000,3.784
-563040000,3.784
-562980000,3.792
-562920000,2.146
-562860000,1.608
-562800000,1.828
-562740000,1.922
-562680000,1.978
-562620000,1.93
-562560000,1.964
-562500000,1.854
-562440000,1.762
-562380000,1.738
-562320000,1.766
-562260000,1.746
-562200000,1.734
-562140000,1.738
-562080000,1.958
-562020000,1.964
-561960000,1.962
-561900000,2.05
-561840000,2.032
-561780000,2.036
-561720000,1.964
-561660000,1.97
-561600000,1.946
-561540000,1.97
-561480000,1.962
-561420000,1.988
-561360000,1.972
-561300000,1.974
-561240000,1.954
-561180000,1.958
-561120000,2.01
-561060000,1.946
-561000000,1.928
-560940000,1.908
-560880000,1.708
-560820000,1.564
-560760000,1.54
-560700000,1.56
-560640000,1.584
-560580000,1.734
-560520000,1.772
-560460000,1.874
-560400000,1.74
-560340000,1.622
-560280000,1.854
-560220000,1.854
-560160000,1.906
-560100000,1.946
-560040000,3.36
-559980000,3.518
-559920000,2.438
-559860000,1.924
-559800000,1.954
-559740000,2.018
-559680000,2.014
-559620000,1.992
-559560000,1.996
-559500000,2.002
-559440000,1.964
-559380000,1.93
-559320000,1.83
-559260000,1.706
-559200000,2.93
-559140000,3.182
-559080000,1.718
-559020000,1.716
-558960000,1.71
-558900000,1.712
-558840000,1.702
-558780000,1.732
-558720000,1.722
-558660000,1.712
-558600000,1.716
-558540000,1.714
-558480000,1.71
-558420000,1.722
-558360000,1.72
-558300000,1.714
-558240000,1.736
-558180000,1.726
-558120000,1.712
-558060000,1.72
-558000000,1.718
-557940000,1.704
-557880000,1.754
-557820000,1.798
-557760000,1.742
-557700000,1.74
-557640000,1.742
-557580000,1.75
-557520000,1.736
-557460000,1.712
-557400000,1.566
-557340000,1.488
-557280000,1.494
-557220000,1.504
-557160000,1.498
-557100000,1.44
-557040000,1.44
-556980000,1.434
-556920000,1.446
-556860000,1.442
-556800000,1.434
-556740000,1.456
-556680000,1.462
-556620000,1.478
-556560000,1.47
-556500000,1.456
-556440000,1.45
-556380000,1.448
-556320000,1.442
-556260000,1.446
-556200000,1.446
-556140000,1.44
-556080000,1.44
-556020000,1.436
-555960000,1.44
-555900000,1.436
-555840000,1.434
-555780000,1.648
-555720000,1.734
-555660000,1.816
-555600000,1.808
-555540000,1.822
-555480000,1.822
-555420000,1.826
-555360000,1.824
-555300000,1.82
-555240000,1.81
-555180000,1.81
-555120000,1.806
-555060000,1.814
-555000000,1.812
-554940000,1.784
-554880000,1.758
-554820000,1.768
-554760000,1.764
-554700000,1.764
-554640000,2.152
-554580000,3.092
-554520000,1.79
-554460000,1.76
-554400000,1.752
-554340000,1.75
-554280000,1.744
-554220000,1.77
-554160000,1.794
-554100000,1.774
-554040000,1.782
-553980000,1.788
-553920000,2.4
-553860000,1.8
-553800000,1.938
-553740000,2.304
-553680000,2.066
-553620000,1.938
-553560000,1.802
-553500000,1.954
-553440000,2.058
-553380000,2.102
-553320000,2.118
-553260000,2.12
-553200000,2.106
-553140000,2.124
-553080000,2.134
-553020000,2.134
-552960000,2.12
-552900000,2.122
-552840000,2.118
-552780000,2.106
-552720000,2.136
-552660000,2.51
-552600000,2.68
-552540000,2.372
-552480000,2.154
-552420000,2.146
-552360000,2.14
-552300000,2.142
-552240000,2.228
-552180000,2.19
-552120000,2.122
-552060000,2.118
-552000000,2.12
-551940000,2.118
-551880000,2.11
-551820000,2.11
-551760000,2.11
-551700000,2.108
-551640000,2.104
-551580000,1.856
-551520000,1.858
-551460000,1.87
-551400000,2.046
-551340000,2.152
-551280000,2.17
-551220000,2.162
-551160000,2.16
-551100000,2.154
-551040000,2.238
-550980000,2.24
-550920000,2.248
-550860000,2.188
-550800000,2.152
-550740000,2.13
-550680000,2.11
-550620000,2.112
-550560000,2.12
-550500000,2.108
-550440000,2.106
-550380000,2.076
-550320000,1.996
-550260000,2.004
-550200000,2.01
-550140000,2.002
-550080000,1.934
-550020000,1.954
-549960000,2.06
-549900000,2.022
-549840000,2.128
-549780000,2.18
-549720000,2.178
-549660000,2.172
-549600000,2.18
-549540000,2.1
-549480000,2.142
-549420000,2.144
-549360000,2.07
-549300000,2.042
-549240000,3.006
-549180000,3.156
-549120000,3.118
-549060000,3.124
-549000000,4.502
-548940000,5.57
-548880000,3.054
-548820000,2.886
-548760000,2.902
-548700000,2.892
-548640000,2.888
-548580000,2.88
-548520000,2.858
-548460000,3.382
-548400000,4.944
-548340000,4.928
-548280000,4.908
-548220000,4.918
-548160000,4.956
-548100000,4.944
-548040000,4.968
-547980000,4.89
-547920000,4.9
-547860000,2.812
-547800000,4.794
-547740000,2.92
-547680000,2.852
-547620000,2.814
-547560000,2.744
-547500000,2.76
-547440000,2.758
-547380000,2.824
-547320000,2.848
-547260000,2.844
-547200000,2.81
-547140000,2.82
-547080000,2.818
-547020000,2.842
-546960000,2.834
-546900000,2.83
-546840000,2.824
-546780000,2.814
-546720000,2.794
-546660000,2.794
-546600000,2.78
-546540000,2.78
-546480000,2.756
-546420000,2.748
-546360000,2.776
-546300000,2.842
-546240000,2.856
-546180000,2.798
-546120000,2.81
-546060000,2.81
-546000000,2.792
-545940000,2.792
-545880000,2.75
-545820000,2.762
-545760000,4.838
-545700000,4.878
-545640000,4.864
-545580000,4.868
-545520000,4.876
-545460000,4.81
-545400000,4.79
-545340000,4.784
-545280000,4.806
-545220000,4.834
-545160000,4.856
-545100000,4.844
-545040000,4.912
-544980000,3.12
-544920000,2.73
-544860000,2.962
-544800000,2.764
-544740000,2.748
-544680000,2.722
-544620000,2.768
-544560000,2.832
-544500000,2.804
-544440000,2.788
-544380000,2.802
-544320000,2.8
-544260000,2.776
-544200000,2.768
-544140000,2.798
-544080000,2.846
-544020000,3.234
-543960000,3.256
-543900000,3.272
-543840000,3.328
-543780000,3.316
-543720000,3.39
-543660000,3.418
-543600000,3.384
-543540000,3.374
-543480000,3.388
-543420000,3.376
-543360000,3.354
-543300000,3.472
-543240000,3.484
-543180000,3.422
-543120000,3.416
-543060000,3.446
-543000000,3.66
-542940000,3.586
-542880000,3.556
-542820000,3.604
-542760000,3.728
-542700000,3.7
-542640000,3.678
-542580000,3.67
-542520000,3.702
-542460000,3.744
-542400000,3.796
-542340000,3.808
-542280000,3.58
-542220000,3.37
-542160000,3.13
-542100000,3.238
-542040000,3.39
-541980000,3.36
-541920000,3.4
-541860000,3.396
-541800000,3.282
-541740000,2.996
-541680000,3.002
-541620000,3
-541560000,2.994
-541500000,3.058
-541440000,3.118
-541380000,3.168
-541320000,3.262
-541260000,3.306
-541200000,3.288
-541140000,3.282
-541080000,3.292
-541020000,3.28
-540960000,3.502
-540900000,3.376
-540840000,3.332
-540780000,3.292
-540720000,3.28
-540660000,3.298
-540600000,3.296
-540540000,3.274
-540480000,3.412
-540420000,3.412
-540360000,3.418
-540300000,3.416
-540240000,3.418
-540180000,3.43
-540120000,3.434
-540060000,3.792
-540000000,3.652
-539940000,3.59
-539880000,3.328
-539820000,3.336
-539760000,3.386
-539700000,3.528
-539640000,3.496
-539580000,3.396
-539520000,3.266
-539460000,3.34
-539400000,3.26
-539340000,3.236
-539280000,3.216
-539220000,3.232
-539160000,3.236
-539100000,3.254
-539040000,3.308
-538980000,3.612
-538920000,4.1
-538860000,6.254
-538800000,6.204
-538740000,4.536
-538680000,3.606
-538620000,3.594
-538560000,3.614
-538500000,3.612
-538440000,3.612
-538380000,3.576
-538320000,3.552
-538260000,3.55
-538200000,3.566
-538140000,3.66
-538080000,3.624
-538020000,3.626
-537960000,3.62
-537900000,3.42
-537840000,3.356
-537780000,3.362
-537720000,3.372
-537660000,3.38
-537600000,3.344
-537540000,3.612
-537480000,3.652
-537420000,3.638
-537360000,3.618
-537300000,3.588
-537240000,3.596
-537180000,3.708
-537120000,3.79
-537060000,3.76
-537000000,3.754
-536940000,3.742
-536880000,3.954
-536820000,3.81
-536760000,3.808
-536700000,3.978
-536640000,3.974
-536580000,4.006
-536520000,4.112
-536460000,4.06
-536400000,4.05
-536340000,4.046
-536280000,4.078
-536220000,4.18
-536160000,4.132
-536100000,3.768
-536040000,3.556
-535980000,3.528
-535920000,2.922
-535860000,2.42
-535800000,2.398
-535740000,2.398
-535680000,2.388
-535620000,2.432
-535560000,3.764
-535500000,3.782
-535440000,3.222
-535380000,2.21
-535320000,2.208
-535260000,2.22
-535200000,2.234
-535140000,2.224
-535080000,2.164
-535020000,2.472
-534960000,2.506
-534900000,2.168
-534840000,2.154
-534780000,2.146
-534720000,2.134
-534660000,2.104
-534600000,2.104
-534540000,2.116
-534480000,2.114
-534420000,2.532
-534360000,2.478
-534300000,2.366
-534240000,2.74
-534180000,3.424
-534120000,3.538
-534060000,4.012
-534000000,4.842
-533940000,3.578
-533880000,3.438
-533820000,3.29
-533760000,3.13
-533700000,3.15
-533640000,3.314
-533580000,3.022
-533520000,3.004
-533460000,3.02
-533400000,2.96
-533340000,3.544
-533280000,2.934
-533220000,3.034
-533160000,3.244
-533100000,3.304
-533040000,3.024
-532980000,3.032
-532920000,2.826
-532860000,2.558
-532800000,2.514
-532740000,2.406
-532680000,2.388
-532620000,2.314
-532560000,2.326
-532500000,2.56
-532440000,2.67
-532380000,2.42
-532320000,2.55
-532260000,2.6
-532200000,2.628
-532140000,2.632
-532080000,2.664
-532020000,2.576
-531960000,2.972
-531900000,3.202
-531840000,3.178
-531780000,3.19
-531720000,3.26
-531660000,3.262
-531600000,3.39
-531540000,3.566
-531480000,3.668
-531420000,4.464
-531360000,4.448
-531300000,3.698
-531240000,3.712
-531180000,3.732
-531120000,3.736
-531060000,3.66
-531000000,3.636
-530940000,3.62
-530880000,3.614
-530820000,3.59
-530760000,3.61
-530700000,3.616
-530640000,3.644
-530580000,3.822
-530520000,3.538
-530460000,3.504
-530400000,3.682
-530340000,3.694
-530280000,3.692
-530220000,3.712
-530160000,3.628
-530100000,3.374
-530040000,3.368
-529980000,3.352
-529920000,3.35
-529860000,3.318
-529800000,3.324
-529740000,3.594
-529680000,3.798
-529620000,3.852
-529560000,3.832
-529500000,3.832
-529440000,3.75
-529380000,3.568
-529320000,3.476
-529260000,3.316
-529200000,3.274
-529140000,3.244
-529080000,3.576
-529020000,3.898
-528960000,3.638
-528900000,3.204
-528840000,3.078
-528780000,3.076
-528720000,3.086
-528660000,3.002
-528600000,2.992
-528540000,3.038
-528480000,3.088
-528420000,3.116
-528360000,3.108
-528300000,3.096
-528240000,3.086
-528180000,3.076
-528120000,3.08
-528060000,3.08
-528000000,3.096
-527940000,3.13
-527880000,3.074
-527820000,3.118
-527760000,3.082
-527700000,3.068
-527640000,3.084
-527580000,3.268
-527520000,3.316
-527460000,3.07
-527400000,3.1
-527340000,3.098
-527280000,3.096
-527220000,3.1
-527160000,3.094
-527100000,3.1
-527040000,3.118
-526980000,3.124
-526920000,3.108
-526860000,3.14
-526800000,3.138
-526740000,3.12
-526680000,3.102
-526620000,3.098
-526560000,3.086
-526500000,3.08
-526440000,2.996
-526380000,2.914
-526320000,2.986
-526260000,2.84
-526200000,2.824
-526140000,2.97
-526080000,2.91
-526020000,2.754
-525960000,2.588
-525900000,2.624
-525840000,2.614
-525780000,2.618
-525720000,2.604
-525660000,2.596
-525600000,2.588
-525540000,2.694
-525480000,2.69
-525420000,2.682
-525360000,2.688
-525300000,2.688
-525240000,2.688
-525180000,2.694
-525120000,2.69
-525060000,2.688
-525000000,2.156
-524940000,1.65
-524880000,1.652
-524820000,1.646
-524760000,1.656
-524700000,1.648
-524640000,1.654
-524580000,1.632
-524520000,1.632
-524460000,1.676
-524400000,1.714
-524340000,1.72
-524280000,1.726
-524220000,1.722
-524160000,1.654
-524100000,1.662
-524040000,1.66
-523980000,1.66
-523920000,1.654
-523860000,1.652
-523800000,1.582
-523740000,1.582
-523680000,1.542
-523620000,1.678
-523560000,1.748
-523500000,1.752
-523440000,1.91
-523380000,2.136
-523320000,1.754
-523260000,0.862
-523200000,0.812
-523140000,0.808
-523080000,0.806
-523020000,0.812
-522960000,0.818
-522900000,0.82
-522840000,0.848
-522780000,0.914
-522720000,0.902
-522660000,0.902
-522600000,0.902
-522540000,0.902
-522480000,0.888
-522420000,0.892
-522360000,0.85
-522300000,0.796
-522240000,0.9
-522180000,0.912
-522120000,0.912
-522060000,0.914
-522000000,0.938
-521940000,0.952
-521880000,1.116
-521820000,0.864
-521760000,0.724
-521700000,0.602
-521640000,0.566
-521580000,0.566
-521520000,0.566
-521460000,0.564
-521400000,0.56
-521340000,0.5
-521280000,0.492
-521220000,0.496
-521160000,0.498
-521100000,0.416
-521040000,0.404
-520980000,0.404
-520920000,0.318
-520860000,0.292
-520800000,0.29
-520740000,0.288
-520680000,0.286
-520620000,0.288
-520560000,0.396
-520500000,0.382
-520440000,0.382
-520380000,0.38
-520320000,0.378
-520260000,0.444
-520200000,0.478
-520140000,0.472
-520080000,0.47
-520020000,0.47
-519960000,0.468
-519900000,0.464
-519840000,0.462
-519780000,0.396
-519720000,0.378
-519660000,0.378
-519600000,0.376
-519540000,0.374
-519480000,0.44
-519420000,0.452
-519360000,0.454
-519300000,0.454
-519240000,0.452
-519180000,0.45
-519120000,0.446
-519060000,0.444
-519000000,0.442
-518940000,0.44
-518880000,0.388
-518820000,0.366
-518760000,0.364
-518700000,0.366
-518640000,0.284
-518580000,0.276
-518520000,0.274
-518460000,0.274
-518400000,0.274
-518340000,0.276
-518280000,0.278
-518220000,0.238
-518160000,0.208
-518100000,0.206
-518040000,0.206
-517980000,0.206
-517920000,0.204
-517860000,0.204
-517800000,0.212
-517740000,0.316
-517680000,0.308
-517620000,0.306
-517560000,0.306
-517500000,0.306
-517440000,0.306
-517380000,0.302
-517320000,0.302
-517260000,0.3
-517200000,0.3
-517140000,0.302
-517080000,0.3
-517020000,0.316
-516960000,0.376
-516900000,0.374
-516840000,0.372
-516780000,0.372
-516720000,0.372
-516660000,0.368
-516600000,0.368
-516540000,0.366
-516480000,0.366
-516420000,0.342
-516360000,0.294
-516300000,0.23
-516240000,0.202
-516180000,0.202
-516120000,0.202
-516060000,0.204
-516000000,0.204
-515940000,0.204
-515880000,0.206
-515820000,0.204
-515760000,0.204
-515700000,0.202
-515640000,0.202
-515580000,0.202
-515520000,0.202
-515460000,0.202
-515400000,0.3
-515340000,0.31
-515280000,0.308
-515220000,0.306
-515160000,0.304
-515100000,0.3
-515040000,0.3
-514980000,0.296
-514920000,0.296
-514860000,0.296
-514800000,0.296
-514740000,0.296
-514680000,0.296
-514620000,0.298
-514560000,0.298
-514500000,0.324
-514440000,0.372
-514380000,0.372
-514320000,0.372
-514260000,0.368
-514200000,0.368
-514140000,0.368
-514080000,0.348
-514020000,0.276
-513960000,0.274
-513900000,0.226
-513840000,0.292
-513780000,0.292
-513720000,0.292
-513660000,0.294
-513600000,0.292
-513540000,0.29
-513480000,0.29
-513420000,0.288
-513360000,0.286
-513300000,0.286
-513240000,0.284
-513180000,0.282
-513120000,0.398
-513060000,0.382
-513000000,0.38
-512940000,0.376
-512880000,0.374
-512820000,0.372
-512760000,0.372
-512700000,0.37
-512640000,0.37
-512580000,0.37
-512520000,0.37
-512460000,0.37
-512400000,0.368
-512340000,0.368
-512280000,0.368
-512220000,0.328
-512160000,0.298
-512100000,0.296
-512040000,0.296
-511980000,0.294
-511920000,0.374
-511860000,0.28
-511800000,0.28
-511740000,0.282
-511680000,0.282
-511620000,0.28
-511560000,0.28
-511500000,0.276
-511440000,0.276
